Package_Type,Package_ID,Product_ID,Package_Name,Active_Subscriptions,Package_Form,Subscription_Model,Product_Fee_Code,Provincial_Fee_Code,Commodity_Code,Product_Code,Rights_Type,Original_Price,Sales_Price,Configuration_Method,Is_Settlement,Is_Atomic_Service_Settlement,Associated_Provincial_Contract,Platform,Fee_Level,Province,Payment_Method,Order_Direction,Is_Random,Partner_Platform,Benefits_Detail,Sub_Package_List,Parent_Package_List,Update_Time,Status,Operation
Consultation,PKG770487,PROD_665579,Basic_Silver_Package_763,0.0,Official,Monthly_Recurring,FEE333995652670,PFEE345790651066,-,CODE979090220563,Multi_Screen,9.81,8.35,Full_Package,No,No,,Other,,Province_M,Third_Party_Payment,Reverse_Order,Yes,Partner_D,1. Health records access | 2. AI health assistant | 3. Appointment booking | 4. Phone consultation service | 5. Medicine discount,-,-,2025-11-14 19:02:53,Active,
Monitoring,PKG216739,PROD_916449,Health_Plus_Package_943,0.0,Official,Monthly_Recurring,FEE_520521,PFEE_124813,-,CODE_523956,Multi_Screen,276.0,269.0,Full_Package,No,No,,Other,,Province_M,Third_Party_Payment,Reverse_Order,Yes,"Partner_C,Partner_A",1. Text consultation service | 2. AI health assistant | 3. Phone consultation service,-,-,2025-04-24 18:32:03,Active,
Consultation,PKG126225,PROD_656116,Premium_Plus_Package_409,1.0,Official,Single_Purchase,FEE161483,PFEE792094,-,CODE859359,Multi_Screen,4.46,4.23,Full_Package,No,No,,Product_Center,,National,Third_Party_Payment,Reverse_Order,Yes,"Partner_E,Partner_B,Partner_C",1. Text consultation service | 2. Appointment booking | 3. Health records access | 4. Video consultation service,-,-,2025-11-18 10:26:01,Active,
Consultation,PKG877572,PROD_100599,Family_Platinum_Package_219,74756.0,Official,Single_Purchase,FEE536926259225012360,PFEE6124453431,-,CODE715802625342585721,Multi_Screen,3.27,3.33,Full_Package,No,No,,Platform_A,一级计费点,Province_L,Phone_Bill_Family_App,Reverse_Order,Yes,"Partner_D,Partner_E,Partner_A",1. AI health assistant | 2. Health assessment | 3. Medicine discount | 4. Health records access,-,-,2025-10-20 17:26:40,Active,
Consultation,PKG388389,PROD_728038,Wellness_Gold_Package_138,1.0,Official,Single_Purchase,FEE389439657508,-,-,CODE750232365798,Multi_Screen,0.0,0.0,Full_Package,No,No,,Other,,Province_M,Phone_Bill_Business_Hall,Forward_Order,Yes,"Partner_D,Partner_C",1. Health records access | 2. Appointment booking | 3. AI health assistant | 4. Text consultation service | 5. Phone consultation service | 6. Health assessment,-,-,2024-04-19 22:36:22,Active,
Consultation,PKG5108603,PROD_439902,Care_Platinum_Package_218,0.0,Official,Monthly_Recurring,FEE962972824015,PFEE406352552364,-,CODE828273518134,Multi_Screen,4.63,5.73,Full_Package,No,No,,Other,,Province_M,Third_Party_Payment,Reverse_Order,Yes,"Partner_D,Partner_E,Partner_A",1. AI health assistant | 2. Health assessment | 3. Health records access,9001381,-,2025-04-23 16:47:10,Active,
Consultation,PKG334053,PROD_612340,Health_Silver_Package_650,766648.0,Official,Monthly_Recurring,FEE624588936698150093,PFEE4712367625,-,CODE196784828978964735,Small_Screen,0.0,0.0,Full_Package,No,No,,Platform_A,一级计费点,Province_C,Third_Party_Payment,Reverse_Order,No,,1. Medicine discount | 2. AI health assistant | 3. Video consultation service | 4. Text consultation service | 5. Health records access,900086,-,2024-05-24 22:19:24,Active,
Consultation,PKG3341057,PROD_120422,Wellness_Platinum_Package_564,559181.0,Official,Monthly_Recurring,FEE587694422449199090,PFEE6493800024,-,CODE594156880886316478,Small_Screen,3.29,3.39,Full_Package,No,No,,Platform_A,一级计费点,Province_M,Phone_Bill_Family_App,Reverse_Order,Yes,"Partner_D,Partner_B",1. AI health assistant | 2. Health assessment | 3. Video consultation service | 4. Health records access | 5. Text consultation service,-,-,2025-10-12 18:46:27,Active,
Monitoring,PKG872246,PROD_217301,Care_Plus_Package_860,0.0,Official,Monthly_Recurring,FEE_830429,PFEE_772642,-,CODE_242291,Multi_Screen,353.0,239.0,Full_Package,No,No,,Other,,Province_M,Phone_Bill_Family_App,Reverse_Order,Yes,"Partner_D,Partner_B,Partner_A",1. Phone consultation service | 2. Health records access | 3. Video consultation service | 4. Medicine discount | 5. Health assessment,-,-,2025-05-30 18:36:09,Active,
Consultation,PKG2719583,PROD_480612,Family_Standard_Package_529,296064.0,City,Monthly_Recurring,FEE_865990,PFEE_634150,-,CODE_584125,Multi_Screen,16.0,17.0,Full_Package,No,No,,Platform_A,二级计费点,Province_A,Provincial_Reverse_Order,Reverse_Order,No,"Partner_B,Partner_D",1. Video consultation service | 2. Health assessment | 3. Medicine discount | 4. Phone consultation service | 5. Text consultation service | 6. Appointment booking,"9001699,9001700,9001701,9001702,9001724,9001783",-,2025-09-27 14:48:28,Active,
Consultation,PKG2458591,PROD_972064,Basic_Plus_Package_844,118494.0,Official,Monthly_Recurring,FEE863085665046287668,PFEE7597996327,-,CODE157974233846106913,Multi_Screen,8.77,9.85,Full_Package,No,No,,Platform_A,一级计费点,Province_C,Phone_Bill_Business_Hall,Forward_Order,No,Partner_E,1. Text consultation service | 2. Video consultation service | 3. Health assessment | 4. Appointment booking | 5. AI health assistant | 6. Health records access,-,-,2025-06-04 09:59:34,Active,
Consultation,PKG8078673,PROD_945964,Wellness_Platinum_Package_770,106813.0,City,Monthly_Recurring,FEE_853305,PFEE_128941,-,CODE_372793,Multi_Screen,16.0,12.0,Full_Package,No,No,,Platform_A,二级计费点,Province_A,Provincial_Reverse_Order,Reverse_Order,No,"Partner_D,Partner_B",1. Text consultation service | 2. Video consultation service | 3. Phone consultation service,"9001695,9001696,9001697,9001723,9001694,9001784",-,2025-10-20 14:48:28,Active,
Consultation,PKG1533224,PROD_422451,Health_Platinum_Package_730,52363.0,Official,Monthly_Recurring,FEE278468593457332089,PFEE9462806178,-,CODE477411929117619059,Multi_Screen,2.73,3.02,Full_Package,No,No,,Platform_A,一级计费点,Province_I,Phone_Bill_Business_Hall,Forward_Order,Yes,"Partner_B,Partner_C",1. AI health assistant | 2. Health assessment | 3. Medicine discount | 4. Health records access | 5. Phone consultation service | 6. Appointment booking | 7. Text consultation service | 8. Video consultation service,9001568,-,2025-10-20 18:59:49,Active,
Monitoring,PKG1499914,PROD_351083,Premium_Bronze_Package_133,711.0,Official,Monthly_Recurring,FEE422938152332,-,-,CODE599125280348,Multi_Screen,10.0,10.0,Full_Package,No,No,,Other,,Province_M,Third_Party_Payment,Reverse_Order,No,Partner_C,1. Appointment booking | 2. AI health assistant | 3. Text consultation service | 4. Medicine discount | 5. Video consultation service | 6. Health records access,-,-,2024-01-18 15:32:38,Active,
Consultation,PKG2571945,PROD_160738,Family_Bronze_Package_322,64350.0,Official,Monthly_Recurring,FEE767749406257758934,PFEE2140169349,-,CODE489111638850808505,Multi_Screen,3.31,3.0,Full_Package,Yes,Yes,,Other,,Province_D,Third_Party_Payment,Reverse_Order,Yes,"Partner_A,Partner_D,Partner_B",1. Health records access | 2. Video consultation service | 3. Text consultation service | 4. Appointment booking | 5. Health assessment | 6. Phone consultation service | 7. AI health assistant | 8. Medicine discount,9001483,-,2025-07-04 11:09:02,Active,
Consultation,PKG329258,PROD_352572,Premium_Platinum_Package_341,42176.0,City,Monthly_Recurring,FEE_871476,PFEE7161404428,-,CODE_898207,Small_Screen,3.12,2.93,Full_Package,No,No,,Platform_A,一级计费点,Province_C,Phone_Bill_Business_Hall,Forward_Order,No,Partner_E,1. Phone consultation service | 2. Medicine discount | 3. Health records access | 4. AI health assistant | 5. Text consultation service,-,-,2025-07-06 09:59:33,Active,
Consultation,PKG4903402,PROD_694916,Senior_Bronze_Package_201,28173.0,Official,Monthly_Recurring,FEE170279290927533584,PFEE_863934,-,CODE537102768271922711,Multi_Screen,18.0,12.0,Full_Package,No,No,,Platform_A,二级计费点,Province_A,Provincial_Reverse_Order,Reverse_Order,Yes,"Partner_B,Partner_A,Partner_E",1. Appointment booking | 2. Phone consultation service | 3. Medicine discount | 4. Video consultation service | 5. Text consultation service,"9001722,9001672,9001673,9001674,9001675,9001782",-,2025-09-26 14:48:28,Active,
Consultation,PKG9478454,PROD_182582,Family_Bronze_Package_657,16629.0,Official,Monthly_Recurring,FEE461561736148112283,PFEE8672650595,-,CODE967008294571201368,Multi_Screen,11.0,9.07,Full_Package,No,No,,Platform_A,一级计费点,Province_O,Phone_Bill_Business_Hall,Forward_Order,Yes,"Partner_E,Partner_A",1. Appointment booking | 2. Health records access | 3. Text consultation service | 4. Phone consultation service | 5. Video consultation service | 6. AI health assistant | 7. Medicine discount,-,-,2025-11-29 17:15:06,Active,
Consultation,PKG1445199,PROD_189814,Family_Bronze_Package_162,21220.0,Official,Monthly_Recurring,FEE157810174150337067,PFEE5791662169,-,CODE390849268630793265,Multi_Screen,0.0,0.0,Full_Package,No,No,,Platform_A,一级计费点,Province_L,Phone_Bill_Business_Hall,Forward_Order,No,Partner_B,1. Health records access | 2. Video consultation service | 3. Text consultation service | 4. AI health assistant | 5. Phone consultation service | 6. Appointment booking | 7. Health assessment,-,-,2025-11-25 10:44:30,Active,
Consultation,PKG688508,PROD_867460,Premium_Bronze_Package_294,18186.0,City,Monthly_Recurring,FEE_712554,PFEE6111349421,-,CODE_975467,Multi_Screen,18.0,17.0,Full_Package,No,No,,Platform_A,一级计费点,Province_C,Phone_Bill_Business_Hall,Forward_Order,No,"Partner_E,Partner_B,Partner_D",1. Health assessment | 2. Phone consultation service | 3. Appointment booking | 4. Health records access | 5. Video consultation service | 6. Medicine discount,-,-,2024-11-08 15:37:40,Active,
Consultation,PKG4335942,PROD_609597,Health_Platinum_Package_193,14573.0,Official,Monthly_Recurring,FEE651803604970,-,-,CODE615747860109,Multi_Screen,9.44,9.15,Full_Package,No,No,,Other,,Province_M,Phone_Bill_Family_App,Reverse_Order,No,Partner_C,1. Video consultation service | 2. Health records access | 3. Text consultation service,-,-,2024-05-11 18:12:33,Active,
Consultation,PKG8038374,PROD_955662,Family_Silver_Package_757,16998.0,Official,Monthly_Recurring,FEE281507579362927099,PFEE_146542,-,CODE963566173524348294,Multi_Screen,9.21,12.0,Full_Package,No,No,,Platform_A,二级计费点,Province_A,Provincial_Reverse_Order,Reverse_Order,Yes,"Partner_A,Partner_B",1. Text consultation service | 2. Medicine discount | 3. Health assessment | 4. Phone consultation service | 5. Appointment booking | 6. Video consultation service | 7. AI health assistant,"9002018,9002019,9002020,9002021,9002022",-,2025-11-07 20:38:14,Active,
Consultation,PKG331148,PROD_172574,Family_Standard_Package_121,12712.0,Official,Monthly_Recurring,FEE192362230204533858,PFEE8339176912,-,CODE160050611551821310,Small_Screen,3.25,2.98,Full_Package,No,No,,Platform_A,一级计费点,Province_C,Phone_Bill_Business_Hall,Forward_Order,Yes,Partner_A,1. AI health assistant | 2. Video consultation service | 3. Health assessment | 4. Text consultation service | 5. Phone consultation service | 6. Health records access | 7. Medicine discount | 8. Appointment booking,-,-,2025-06-04 09:59:33,Active,
Consultation,PKG8536477,PROD_897549,Health_Bronze_Package_349,8360.0,City,Monthly_Recurring,FEE_992697,PFEE_101773,-,CODE_466960,Multi_Screen,8.51,8.12,Full_Package,No,No,,Platform_A,二级计费点,Province_A,Provincial_Reverse_Order,Reverse_Order,No,"Partner_D,Partner_B,Partner_C",1. Health assessment | 2. Text consultation service | 3. AI health assistant | 4. Phone consultation service,"9002025,9002026,9002027,9002028,9002029",-,2025-10-26 20:23:58,Active,
Consultation,PKG5667265,PROD_658582,Wellness_Standard_Package_310,9206.0,City,Monthly_Recurring,FEE_294851,PFEE_645175,-,CODE_335113,Multi_Screen,8.18,11.0,Full_Package,No,No,,Platform_A,二级计费点,Province_A,Provincial_Reverse_Order,Reverse_Order,No,"Partner_B,Partner_D,Partner_A",1. AI health assistant | 2. Health assessment | 3. Text consultation service | 4. Appointment booking | 5. Medicine discount,"9002031,9002032,9002033,9002034,9002035",-,2025-11-03 20:23:58,Active,
Consultation,PKG948749,PROD_903035,Health_Standard_Package_312,7316.0,City,Monthly_Recurring,FEE_171849,PFEE3880327491,-,CODE_781725,Multi_Screen,16.0,22.0,Full_Package,No,No,,Platform_A,一级计费点,Province_C,Phone_Bill_Business_Hall,Forward_Order,No,"Partner_C,Partner_E,Partner_B",1. Health assessment | 2. Appointment booking | 3. Medicine discount | 4. Phone consultation service,-,-,2024-11-15 15:38:03,Active,
Consultation,PKG106814,PROD_231869,Basic_Silver_Package_932,4954.0,Official,Monthly_Recurring,FEE178353541908150401,PFEE6859286614,-,CODE851421961523997523,Multi_Screen,4.58,5.42,Full_Package,No,No,,Platform_A,一级计费点,Province_I,Phone_Bill_Family_App,Reverse_Order,Yes,"Partner_E,Partner_C",1. Video consultation service | 2. Health records access | 3. Health assessment | 4. Text consultation service | 5. AI health assistant,-,-,2025-11-19 10:01:24,Active,
Consultation,PKG3678638,PROD_234628,Senior_Silver_Package_436,4601.0,City,Monthly_Recurring,FEE_808011,PFEE_173372,-,CODE_142213,Multi_Screen,29.0,23.0,Full_Package,No,No,,Platform_A,二级计费点,Province_A,Provincial_Reverse_Order,Forward_Order,No,"Partner_C,Partner_E",1. Phone consultation service | 2. Text consultation service | 3. Video consultation service | 4. AI health assistant | 5. Appointment booking | 6. Medicine discount | 7. Health records access | 8. Health assessment,"9001714,9001715,9001716,9001717,9001727,9001787",-,2025-10-01 14:48:29,Active,
Consultation,PKG8090293,PROD_791798,Senior_Silver_Package_907,1.0,Official,Monthly_Recurring,FEE_346629,PFEE_796503,-,CODE_890870,Multi_Screen,13.0,10.0,Full_Package,No,No,,Other,,Province_M,Third_Party_Payment,Reverse_Order,Yes,"Partner_D,Partner_E,Partner_A",1. Health assessment | 2. Appointment booking | 3. AI health assistant,9000751,-,2025-06-11 18:38:03,Active,
Consultation,PKG6708456,PROD_598369,Basic_Gold_Package_383,0.0,Official,Monthly_Recurring,FEE_523389,PFEE_446239,-,CODE_132537,Multi_Screen,14.0,12.0,Full_Package,No,No,,Other,,Province_M,Third_Party_Payment,Reverse_Order,Yes,"Partner_D,Partner_C,Partner_A",1. Video consultation service | 2. Health assessment | 3. AI health assistant | 4. Appointment booking | 5. Text consultation service,9000753,-,2025-06-03 18:38:47,Active,
Consultation,PKG5661907,PROD_676510,Senior_Silver_Package_233,0.0,Official,Monthly_Recurring,FEE_225710,PFEE_753425,-,CODE_359295,Multi_Screen,11.0,11.0,Full_Package,No,No,,Other,,Province_M,Third_Party_Payment,Reverse_Order,Yes,"Partner_C,Partner_D",1. Appointment booking | 2. Video consultation service | 3. Text consultation service | 4. Phone consultation service,9000755,-,2025-06-08 18:39:35,Active,
Consultation,PKG3608513,PROD_273148,Basic_Bronze_Package_917,0.0,Official,Monthly_Recurring,FEE_697347,PFEE_429164,-,CODE_309044,Multi_Screen,10.0,14.0,Full_Package,No,No,,Other,,Province_M,Third_Party_Payment,Reverse_Order,Yes,Partner_E,1. Health records access | 2. Video consultation service | 3. AI health assistant,9000757,-,2025-06-03 18:40:02,Active,
Consultation,PKG4612365,PROD_377932,Wellness_Gold_Package_776,,Official,Monthly_Recurring,FEE_358175,PFEE_795612,-,CODE_979995,Multi_Screen,11.0,11.0,Full_Package,No,No,,Other,,Province_M,Third_Party_Payment,Reverse_Order,Yes,Partner_B,1. Health records access | 2. Appointment booking | 3. Phone consultation service | 4. AI health assistant | 5. Video consultation service | 6. Medicine discount | 7. Text consultation service | 8. Health assessment,9000759,-,2025-05-19 18:40:41,Active,
Consultation,PKG6647119,PROD_653306,Senior_Gold_Package_234,0.0,Official,Monthly_Recurring,FEE_707040,PFEE_989208,-,CODE_121369,Multi_Screen,12.0,15.0,Full_Package,No,No,,Other,,Province_M,Third_Party_Payment,Reverse_Order,Yes,Partner_C,1. AI health assistant | 2. Health assessment | 3. Medicine discount | 4. Video consultation service | 5. Health records access | 6. Appointment booking | 7. Phone consultation service | 8. Text consultation service,9000761,-,2025-05-16 18:41:10,Active,
Consultation,PKG2714803,PROD_736059,Health_Bronze_Package_908,0.0,Official,Monthly_Recurring,FEE_723398,PFEE_230679,-,CODE_751517,Multi_Screen,12.0,13.0,Full_Package,No,No,,Other,,Province_M,Third_Party_Payment,Reverse_Order,Yes,"Partner_E,Partner_D,Partner_B",1. Appointment booking | 2. Video consultation service | 3. Text consultation service | 4. Phone consultation service,9000763,-,2025-06-19 18:41:37,Active,
Consultation,PKG2556017,PROD_543692,Senior_Silver_Package_702,,Official,Monthly_Recurring,FEE_141672,PFEE_854717,-,CODE_259784,Multi_Screen,15.0,11.0,Full_Package,No,No,,Other,,Province_M,Third_Party_Payment,Reverse_Order,Yes,Partner_B,1. Phone consultation service | 2. Video consultation service | 3. AI health assistant | 4. Health assessment | 5. Medicine discount,9000765,-,2025-05-17 18:42:10,Active,
Consultation,PKG7374122,PROD_322086,Care_Gold_Package_278,,Official,Monthly_Recurring,FEE_749468,PFEE_414910,-,CODE_350132,Multi_Screen,11.0,15.0,Full_Package,No,No,,Other,,Province_M,Third_Party_Payment,Reverse_Order,Yes,"Partner_B,Partner_D",1. Phone consultation service | 2. Appointment booking | 3. Health assessment,9000767,-,2025-05-21 18:42:39,Active,
Consultation,PKG201414,PROD_665492,Care_Gold_Package_229,3261.0,City,Monthly_Recurring,FEE_185965,PFEE7473041886,-,CODE_232352,Small_Screen,3.43,2.75,Full_Package,No,No,,Platform_A,一级计费点,Province_C,Phone_Bill_Business_Hall,Forward_Order,No,"Partner_B,Partner_D,Partner_C",1. Video consultation service | 2. Health records access | 3. Medicine discount | 4. Appointment booking | 5. Phone consultation service | 6. Text consultation service | 7. AI health assistant,-,-,2025-07-27 09:59:33,Active,
Consultation,PKG7022674,PROD_891952,Family_Platinum_Package_638,2685.0,City,Monthly_Recurring,FEE_539589,PFEE8159250505,-,CODE_596564,Multi_Screen,13.0,16.0,Full_Package,No,No,,Platform_A,一级计费点,Province_C,Phone_Bill_Business_Hall,Forward_Order,No,"Partner_C,Partner_E,Partner_B",1. Appointment booking | 2. Video consultation service | 3. Medicine discount | 4. Text consultation service | 5. Phone consultation service,-,-,2024-06-07 14:03:54,Active,
Consultation,PKG988662,PROD_865388,Health_Plus_Package_165,2568.0,City,Monthly_Recurring,FEE_789305,PFEE6695912196,-,CODE_801978,Small_Screen,4.13,4.83,Full_Package,No,No,,Platform_A,一级计费点,Province_C,Phone_Bill_Business_Hall,Forward_Order,No,"Partner_D,Partner_E,Partner_A",1. Appointment booking | 2. Phone consultation service | 3. Health records access | 4. Video consultation service | 5. Text consultation service | 6. Medicine discount | 7. Health assessment,-,-,2025-07-30 09:59:34,Active,
Consultation,PKG460663,PROD_823378,Premium_Platinum_Package_896,1550.0,City,Monthly_Recurring,FEE_712024,PFEE8289454630,-,CODE_219946,Small_Screen,4.98,4.96,Full_Package,No,No,,Platform_A,一级计费点,Province_C,Phone_Bill_Business_Hall,Forward_Order,No,"Partner_C,Partner_B,Partner_A",1. AI health assistant | 2. Video consultation service | 3. Health records access | 4. Health assessment | 5. Text consultation service | 6. Phone consultation service,-,-,2025-06-26 09:59:34,Active,
Monitoring,PKG5437923,PROD_310922,Care_Standard_Package_707,1018.0,Official,Monthly_Recurring,FEE673658281523,PFEE239820136955,-,CODE612037258811,Multi_Screen,0.0,0.0,Full_Package,No,No,,Other,,Province_M,Third_Party_Payment,Reverse_Order,No,"Partner_E,Partner_D,Partner_A",1. Video consultation service | 2. Text consultation service | 3. AI health assistant | 4. Appointment booking | 5. Phone consultation service | 6. Medicine discount | 7. Health records access | 8. Health assessment,-,-,2024-07-07 09:39:00,Active,
Consultation,PKG1728977,PROD_847581,Health_Platinum_Package_615,953.0,Official,Monthly_Recurring,FEE324458279522,PFEE560385447606,-,CODE382177053424,Multi_Screen,12.0,12.0,Full_Package,No,No,,Other,,Province_M,Third_Party_Payment,Reverse_Order,Yes,"Partner_A,Partner_E,Partner_D",1. Video consultation service | 2. Text consultation service | 3. Medicine discount | 4. Appointment booking,9001385,-,2025-10-04 18:53:32,Active,
Consultation,PKG8707870,PROD_426858,Wellness_Standard_Package_144,943.0,Official,Monthly_Recurring,FEE_802258,PFEE_797229,-,CODE_904150,Multi_Screen,11.0,9.83,Full_Package,No,No,,Other,,Province_M,Third_Party_Payment,Reverse_Order,No,"Partner_A,Partner_E,Partner_B",1. Text consultation service | 2. Appointment booking | 3. Health records access | 4. Health assessment | 5. Medicine discount | 6. AI health assistant | 7. Video consultation service | 8. Phone consultation service,-,-,2025-01-23 22:56:51,Active,
Consultation,PKG9996414,PROD_518373,Family_Plus_Package_633,532.0,Official,Monthly_Recurring,FEE462229337138157709,PFEE9333798503,-,CODE293447712303081991,Multi_Screen,17.0,17.0,Full_Package,No,No,,Platform_A,一级计费点,Province_C,Phone_Bill_Business_Hall,Forward_Order,No,Partner_B,1. AI health assistant | 2. Video consultation service | 3. Text consultation service,-,-,2025-07-14 09:59:34,Active,
Consultation,PKG3094235,PROD_804314,Care_Platinum_Package_758,510.0,City,Monthly_Recurring,FEE_350280,PFEE_810219,-,CODE_735324,Multi_Screen,28.0,22.0,Full_Package,No,No,,Platform_A,二级计费点,Province_A,Provincial_Reverse_Order,Forward_Order,No,Partner_B,1. Video consultation service | 2. Appointment booking | 3. Phone consultation service | 4. AI health assistant,"9001709,9001710,9001711,9001712,9001726,9001786",-,2025-11-17 14:51:03,Active,
